BFCP 262144 8.0 86481.0 34359607296 (90875,206281) 2.5814069253432277E-5
BFCP 262144 8.0 89651.0 34359607296 (80167,125906) 8.286460923693236E-5
BFCP 262144 8.0 88537.0 34359607296 (46609,95344) 1.4343874245924863E-5
BFCP 262144 8.0 89372.0 34359607296 (42944,127576) 4.783236159482146E-5
BFCP 262144 8.0 85711.0 34359607296 (175214,221407) 1.2032960749436414E-5
BFCP 262144 64.0 83282.0 34359607296 (141534,225800) 4.2294544689998884E-4
BFCP 262144 64.0 86403.0 34359607296 (20647,45757) 4.073881874414465E-4
BFCP 262144 64.0 96143.0 34359607296 (239743,245354) 1.74535834470024E-4
BFCP 262144 64.0 100310.0 34359607296 (123500,228745) 4.618158610443692E-4
BFCP 262144 64.0 92375.0 34359607296 (99936,203911) 4.069483000753879E-4
BFCP 524288 1.0 405387.0 137438691328 (125989,466470) 4.497960528597634E-6
BFCP 524288 1.0 383054.0 137438691328 (182756,521329) 5.413618069798044E-7
BFCP 524288 1.0 370668.0 137438691328 (396944,397296) 3.1921078309072745E-6
BFCP 524288 1.0 368682.0 137438691328 (79177,218807) 4.273675179259062E-6
BFCP 524288 1.0 1184740.0 137438691328 (206312,326356) 4.039596977267632E-6
BFCP 524288 8.0 417302.0 137438691328 (130824,254861) 3.7067793855417515E-5
BFCP 524288 8.0 372212.0 137438691328 (78966,462738) 1.2721760382985757E-5
BFCP 524288 8.0 390745.0 137438691328 (122876,318289) 1.9573163624207215E-5
BFCP 524288 8.0 391692.0 137438691328 (199490,514031) 1.2769145253842216E-5
BFCP 524288 8.0 379397.0 137438691328 (205574,395121) 1.98919886277562E-5
BFCP 524288 64.0 375071.0 137438691328 (138679,364364) 9.843786033641216E-5
BFCP 524288 64.0 380470.0 137438691328 (177723,391939) 2.5476215477980785E-4
BFCP 524288 64.0 363326.0 137438691328 (87142,403629) 1.389856811963419E-4
BFCP 524288 64.0 366778.0 137438691328 (612,310639) 1.7091054539766583E-4
BFCP 524288 64.0 385902.0 137438691328 (390843,478386) 9.84370834137855E-5
